Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power,PV-3 Solar Power
1,1,0,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0
1,1,8,6.213933,8.130714,10.257466
1,1,9,45.208964,59.435038,74.601258
1,1,10,41.267175,54.241228,68.151203
1,1,11,90.341173,119.749083,149.927477
1,1,12,63.420584000000005,83.717844,105.12352
1,1,13,94.95033000000001,126.124275,158.018897
1,1,14,83.51253299999999,110.71774400000001,138.859488
1,1,15,62.721286,82.81108900000001,103.98667900000001
1,1,16,10.673264999999999,13.978895,17.635241
1,1,17,-0.0,-0.0,-0.0
1,1,18,0.0,0.0,0.0
1,1,19,0.0,0.0,0.0
1,1,20,0.0,0.0,0.0
1,1,21,0.0,0.0,0.0
1,1,22,0.0,0.0,0.0
1,1,23,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0
1,2,1,0.0,0.0,0.0
1,2,2,0.0,0.0,0.0
1,2,3,0.0,0.0,0.0
1,2,4,0.0,0.0,0.0
1,2,5,0.0,0.0,0.0
1,2,6,0.0,0.0,0.0
1,2,7,0.0,0.0,0.0
1,2,8,0.314892,0.40308999999999995,0.526061
1,2,9,0.410646,0.528967,0.6861269999999999
1,2,10,26.355863000000003,34.599197,43.621755
1,2,11,42.463448,55.868676,70.34095500000001
1,2,12,3.004618,3.934416,5.003927
1,2,13,12.132302,15.912987,20.141699
1,2,14,52.698609,69.45430999999999,87.40210400000001
1,2,15,21.425938,28.124496,35.519737
1,2,16,8.099783,10.616828,13.445549000000002
1,2,17,-0.0,-0.0,-0.0
1,2,18,0.0,0.0,0.0
1,2,19,0.0,0.0,0.0
1,2,20,0.0,0.0,0.0
1,2,21,0.0,0.0,0.0
1,2,22,0.0,0.0,0.0
1,2,23,0.0,0.0,0.0
1,3,0,0.0,0.0,0.0
1,3,1,0.0,0.0,0.0
1,3,2,0.0,0.0,0.0
1,3,3,0.0,0.0,0.0
1,3,4,0.0,0.0,0.0
1,3,5,0.0,0.0,0.0
1,3,6,0.0,0.0,0.0
1,3,7,0.0,0.0,0.0
1,3,8,0.020132999999999998,0.015164,0.031760000000000004
1,3,9,-0.0,-0.0,-0.0
1,3,10,9.692896000000001,12.691624,16.01287
1,3,11,8.877963,11.626573,14.682777
1,3,12,17.278792000000003,22.655432,28.579432
1,3,13,14.678615,19.242645,24.287924999999998
1,3,14,27.270925,35.794598,45.079735
1,3,15,30.557136999999997,40.114502,50.480888
1,3,16,3.067434,4.01159,5.083517
1,3,17,-0.0,-0.0,-0.0
1,3,18,0.0,0.0,0.0
1,3,19,0.0,0.0,0.0
1,3,20,0.0,0.0,0.0
1,3,21,0.0,0.0,0.0
1,3,22,0.0,0.0,0.0
