Month,Day,Hour,PV-1 Solar Power
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,2.5282489999999997
1,1,8,40.89318
1,1,9,72.522773
1,1,10,93.76262799999999
1,1,11,106.8843
1,1,12,110.892969
1,1,13,105.10830800000001
1,1,14,92.1131
1,1,15,70.036905
1,1,16,38.570701
1,1,17,3.2098069999999996
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,1.119715
1,2,8,0.142452
1,2,9,29.201511
1,2,10,86.622721
1,2,11,100.26333100000001
1,2,12,104.803
1,2,13,100.648359
1,2,14,87.428006
1,2,15,65.430003
1,2,16,35.628196
1,2,17,2.675074
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.0
1,2,22,0.0
1,2,23,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.577865
1,3,8,35.999263
1,3,9,69.639651
1,3,10,90.838808
1,3,11,104.957065
1,3,12,109.664388
1,3,13,107.215157
1,3,14,94.57491499999999
1,3,15,41.535531999999996
1,3,16,41.435794
1,3,17,2.4245900000000002
1,3,18,0.0
1,3,19,0.0
1,3,20,0.0
1,3,21,0.0
1,3,22,0.0
1,3,23,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,-0.0
1,4,8,28.993274
1,4,9,61.534445
1,4,10,93.730759
1,4,11,106.85060899999999
1,4,12,110.547751
1,4,13,105.37293799999999
1,4,14,91.214147
1,4,15,68.676707
1,4,16,36.096047
1,4,17,2.711167
1,4,18,0.0
1,4,19,0.0
1,4,20,0.0
1,4,21,0.0
1,4,22,0.0
1,4,23,0.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,0.450284
1,5,8,34.978730000000006
1,5,9,15.164995000000001
1,5,10,90.412402
1,5,11,103.785864
1,5,12,108.720359
1,5,13,104.709093
1,5,14,91.877251
1,5,15,70.460537
1,5,16,39.018654999999995
1,5,17,3.5127620000000004
1,5,18,0.0
1,5,19,0.0
1,5,20,0.0
1,5,21,0.0
1,5,22,0.0
1,5,23,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,6,4,0.0
1,6,5,0.0
1,6,6,0.0
1,6,7,1.1789949999999998
1,6,8,38.626822999999995
1,6,9,71.053341
1,6,10,94.09005400000001
1,6,11,106.838751
1,6,12,110.459327
1,6,13,106.973337
1,6,14,93.142586
1,6,15,69.844855
1,6,16,39.056248
1,6,17,3.307157
1,6,18,0.0
1,6,19,0.0
1,6,20,0.0
1,6,21,0.0
1,6,22,0.0
1,6,23,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,7,4,0.0
1,7,5,0.0
1,7,6,0.0
1,7,7,-0.0
1,7,8,22.138938999999997
1,7,9,53.259366
1,7,10,82.209479
1,7,11,53.640057999999996
1,7,12,71.89164500000001
1,7,13,95.42912799999999
1,7,14,46.605108
1,7,15,35.79027
1,7,16,34.253207
1,7,17,2.6980180000000002
1,7,18,0.0
1,7,19,0.0
1,7,20,0.0
1,7,21,0.0
1,7,22,0.0
1,7,23,0.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
1,8,3,0.0
1,8,4,0.0
1,8,5,0.0
1,8,6,0.0
1,8,7,-0.0
1,8,8,23.646675
1,8,9,54.749064
1,8,10,76.683549
1,8,11,67.549381
1,8,12,71.593864
1,8,13,92.110076
1,8,14,78.46772100000001
1,8,15,58.062824
1,8,16,31.460279
1,8,17,2.544014
1,8,18,0.0
1,8,19,0.0
1,8,20,0.0
1,8,21,0.0
1,8,22,0.0
1,8,23,0.0
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
1,9,3,0.0
1,9,4,0.0
1,9,5,0.0
1,9,6,0.0
1,9,7,-0.0
1,9,8,22.565177
1,9,9,53.041141
1,9,10,78.95185799999999
1,9,11,92.858633
1,9,12,98.647269
1,9,13,92.06383199999999
1,9,14,79.52375900000001
1,9,15,59.723188
1,9,16,32.526092
1,9,17,3.105203
1,9,18,0.0
1,9,19,0.0
1,9,20,0.0
1,9,21,0.0
1,9,22,0.0
1,9,23,0.0
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,10,4,0.0
1,10,5,0.0
1,10,6,0.0
1,10,7,0.046630000000000005
1,10,8,31.901411
1,10,9,64.112516
1,10,10,86.403897
1,10,11,98.326656
1,10,12,100.535623
1,10,13,98.381834
1,10,14,87.08820200000001
1,10,15,67.205622
1,10,16,37.74785
1,10,17,4.69771
1,10,18,0.0
1,10,19,0.0
1,10,20,0.0
1,10,21,0.0
1,10,22,0.0
1,10,23,0.0
1,11,0,0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,11,4,0.0
1,11,5,0.0
1,11,6,0.0
1,11,7,-0.0
1,11,8,18.019185
1,11,9,47.997169
1,11,10,72.626652
1,11,11,88.568638
1,11,12,96.691181
1,11,13,96.59267600000001
1,11,14,84.593743
1,11,15,64.03766399999999
1,11,16,36.624139
1,11,17,4.84669
1,11,18,0.0
1,11,19,0.0
1,11,20,0.0
1,11,21,0.0
1,11,22,0.0
1,11,23,0.0
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,12,4,0.0
1,12,5,0.0
1,12,6,0.0
1,12,7,0.389332
1,12,8,36.815477
1,12,9,71.930254
1,12,10,95.35745200000001
1,12,11,109.966049
1,12,12,114.818152
1,12,13,111.888882
1,12,14,98.189519
1,12,15,75.431276
1,12,16,42.399139000000005
1,12,17,5.666912
1,12,18,0.0
1,12,19,0.0
1,12,20,0.0
1,12,21,0.0
1,12,22,0.0
1,12,23,0.0
1,13,0,0.0
1,13,1,0.0
1,13,2,0.0
1,13,3,0.0
1,13,4,0.0
1,13,5,0.0
1,13,6,0.0
1,13,7,0.141495
1,13,8,34.43173
1,13,9,68.73581200000001
1,13,10,90.403205
1,13,11,104.906042
1,13,12,110.497763
1,13,13,106.05747199999999
1,13,14,94.045728
1,13,15,72.81629099999999
1,13,16,40.723115
1,13,17,5.426522
1,13,18,0.0
1,13,19,0.0
1,13,20,0.0
1,13,21,0.0
1,13,22,0.0
1,13,23,0.0
1,14,0,0.0
1,14,1,0.0
1,14,2,0.0
1,14,3,0.0
1,14,4,0.0
1,14,5,0.0
1,14,6,0.0
1,14,7,0.31516000000000005
1,14,8,35.813477
1,14,9,70.418897
1,14,10,96.029172
1,14,11,110.159103
1,14,12,115.786583
1,14,13,113.337307
1,14,14,100.675989
1,14,15,79.186497
1,14,16,46.736371
1,14,17,6.767131
1,14,18,0.0
1,14,19,0.0
1,14,20,0.0
1,14,21,0.0
1,14,22,0.0
1,14,23,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
1,15,3,0.0
1,15,4,0.0
1,15,5,0.0
1,15,6,0.0
1,15,7,0.542278
1,15,8,36.235475
1,15,9,69.64629
1,15,10,92.329663
1,15,11,106.202514
1,15,12,112.29485799999999
1,15,13,108.413553
1,15,14,96.561548
1,15,15,75.411688
1,15,16,43.133621
1,15,17,6.406858000000001
1,15,18,0.0
1,15,19,0.0
1,15,20,0.0
1,15,21,0.0
1,15,22,0.0
1,15,23,0.0
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,16,4,0.0
1,16,5,0.0
1,16,6,0.0
1,16,7,0.18167599999999998
1,16,8,36.212011
1,16,9,69.21991899999999
1,16,10,90.46032000000001
1,16,11,105.539579
1,16,12,112.497806
1,16,13,109.054008
1,16,14,96.850057
1,16,15,75.567298
1,16,16,44.22655
1,16,17,6.8244620000000005
1,16,18,0.0
1,16,19,0.0
1,16,20,0.0
1,16,21,0.0
1,16,22,0.0
1,16,23,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
1,17,3,0.0
1,17,4,0.0
1,17,5,0.0
1,17,6,0.0
1,17,7,0.49607799999999996
1,17,8,36.146031
1,17,9,69.96096
1,17,10,90.766877
1,17,11,105.462333
1,17,12,110.109641
1,17,13,106.04833500000001
1,17,14,74.569269
1,17,15,53.469791
1,17,16,43.789226
1,17,17,7.303183
1,17,18,0.0
1,17,19,0.0
1,17,20,0.0
1,17,21,0.0
1,17,22,0.0
1,17,23,0.0
1,18,0,0.0
1,18,1,0.0
1,18,2,0.0
1,18,3,0.0
1,18,4,0.0
1,18,5,0.0
1,18,6,0.0
1,18,7,-0.0
1,18,8,2.322563
1,18,9,44.024385
1,18,10,83.708341
1,18,11,73.541562
1,18,12,19.73069
1,18,13,87.141675
1,18,14,37.310753
1,18,15,44.748097
1,18,16,0.565529
1,18,17,4.062508
1,18,18,0.0
1,18,19,0.0
1,18,20,0.0
1,18,21,0.0
1,18,22,0.0
1,18,23,0.0
1,19,0,0.0
1,19,1,0.0
1,19,2,0.0
1,19,3,0.0
1,19,4,0.0
1,19,5,0.0
1,19,6,0.0
1,19,7,-0.0
1,19,8,-0.0
1,19,9,38.553951999999995
1,19,10,80.708396
1,19,11,77.850345
1,19,12,88.866598
1,19,13,59.79134
1,19,14,12.82123
1,19,15,16.876478
1,19,16,2.4937020000000003
1,19,17,2.154493
1,19,18,0.0
1,19,19,0.0
1,19,20,0.0
1,19,21,0.0
1,19,22,0.0
1,19,23,0.0
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,20,4,0.0
1,20,5,0.0
1,20,6,0.0
1,20,7,-0.0
1,20,8,-0.0
1,20,9,2.18531
1,20,10,62.737996
1,20,11,34.470087
1,20,12,62.398883999999995
1,20,13,54.840612
1,20,14,22.539646
1,20,15,13.636965
1,20,16,0.029632000000000002
1,20,17,-0.0
1,20,18,0.0
1,20,19,0.0
1,20,20,0.0
1,20,21,0.0
1,20,22,0.0
1,20,23,0.0
