Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power
1,1,0,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,-0.0,-0.0
1,1,10,28.709851999999998,37.595677
1,1,11,64.634601,85.043776
1,1,12,88.395425,116.76017900000001
1,1,13,101.258226,134.06732
1,1,14,103.006532,136.461591
1,1,15,53.76233,70.699299
1,1,16,74.244598,97.928061
1,1,17,44.378415999999994,58.294227
1,1,18,7.472005,9.770022
1,1,19,0.0,0.0
1,1,20,0.0,0.0
1,1,21,0.0,0.0
1,1,22,0.0,0.0
1,1,23,0.0,0.0
1,2,0,0.0,0.0
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,-0.0,-0.0
1,2,10,28.595758999999997,37.470499000000004
1,2,11,64.40741799999999,84.84011
1,2,12,87.375432,115.60850900000001
1,2,13,100.057891,132.743583
1,2,14,94.68763899999999,125.50878599999999
1,2,15,95.129068,126.14517
1,2,16,77.798086,102.845075
1,2,17,49.204293,64.734223
1,2,18,10.173299,13.311195
1,2,19,0.0,0.0
1,2,20,0.0,0.0
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.0,0.0
1,3,0,0.0,0.0
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,-0.0,-0.0
1,3,10,20.413238,26.713397
1,3,11,48.733896,64.005082
1,3,12,55.170685,72.544057
1,3,13,68.865914,90.746432
1,3,14,102.159626,135.347416
1,3,15,93.006247,123.092955
1,3,16,73.483362,96.994495
1,3,17,43.182726,56.757995
1,3,18,7.048589,9.220951999999999
1,3,19,0.0,0.0
1,3,20,0.0,0.0
1,3,21,0.0,0.0
1,3,22,0.0,0.0
1,3,23,0.0,0.0
1,4,0,0.0,0.0
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
1,4,6,0.0,0.0
1,4,7,0.0,0.0
1,4,8,0.0,0.0
1,4,9,-0.0,-0.0
1,4,10,20.006816,26.182924
1,4,11,52.869417,69.477701
1,4,12,76.702288,101.180076
1,4,13,89.942246,118.948569
1,4,14,92.38654799999999,122.29467600000001
1,4,15,84.394803,111.607143
1,4,16,66.393851,87.563273
1,4,17,38.380324,50.409248
1,4,18,5.5936,7.313129
1,4,19,0.0,0.0
1,4,20,0.0,0.0
1,4,21,0.0,0.0
1,4,22,0.0,0.0
1,4,23,0.0,0.0
1,5,0,0.0,0.0
1,5,1,0.0,0.0
1,5,2,0.0,0.0
1,5,3,0.0,0.0
1,5,4,0.0,0.0
1,5,5,0.0,0.0
1,5,6,0.0,0.0
1,5,7,0.0,0.0
1,5,8,0.0,0.0
1,5,9,-0.0,-0.0
1,5,10,23.282954,30.490286
1,5,11,57.051426,75.057689
1,5,12,79.95428100000001,105.621857
1,5,13,92.13424499999999,122.03125800000001
1,5,14,97.839958,129.772131
1,5,15,90.599262,120.040418
1,5,16,55.964288,73.718585
1,5,17,7.976613,10.436377
1,5,18,1.59426,2.077395
1,5,19,0.0,0.0
1,5,20,0.0,0.0
1,5,21,0.0,0.0
1,5,22,0.0,0.0
1,5,23,0.0,0.0
1,6,0,0.0,0.0
1,6,1,0.0,0.0
1,6,2,0.0,0.0
1,6,3,0.0,0.0
1,6,4,0.0,0.0
1,6,5,0.0,0.0
1,6,6,0.0,0.0
1,6,7,0.0,0.0
1,6,8,0.0,0.0
1,6,9,-0.0,-0.0
1,6,10,24.178055,31.654771
1,6,11,58.972616,77.567534
1,6,12,83.959188,110.87925
1,6,13,97.474901,129.049773
1,6,14,99.974388,132.479595
1,6,15,91.852027,121.611351
1,6,16,73.42235099999999,96.960438
1,6,17,44.816239,58.934432
1,6,18,8.652292,11.321761
1,6,19,-0.0,-0.0
1,6,20,0.0,0.0
1,6,21,0.0,0.0
1,6,22,0.0,0.0
1,6,23,0.0,0.0
1,7,0,0.0,0.0
1,7,1,0.0,0.0
1,7,2,0.0,0.0
1,7,3,0.0,0.0
1,7,4,0.0,0.0
1,7,5,0.0,0.0
1,7,6,0.0,0.0
1,7,7,0.0,0.0
1,7,8,0.0,0.0
1,7,9,-0.0,-0.0
1,7,10,4.462808,5.828557
1,7,11,62.509138,82.286654
1,7,12,86.419102,114.23759799999999
1,7,13,99.725054,132.156374
1,7,14,102.599154,136.048843
1,7,15,95.913179,127.059466
1,7,16,77.74738599999999,102.708303
1,7,17,48.421831,63.688711000000005
1,7,18,10.840245999999999,14.186454
1,7,19,-0.0,-0.0
1,7,20,0.0,0.0
1,7,21,0.0,0.0
1,7,22,0.0,0.0
1,7,23,0.0,0.0
1,8,0,0.0,0.0
1,8,1,0.0,0.0
1,8,2,0.0,0.0
1,8,3,0.0,0.0
1,8,4,0.0,0.0
1,8,5,0.0,0.0
1,8,6,0.0,0.0
1,8,7,0.0,0.0
1,8,8,0.0,0.0
1,8,9,-0.0,-0.0
1,8,10,25.95091,34.003304
1,8,11,61.522748,81.034323
1,8,12,86.353712,114.270695
1,8,13,100.01182899999999,132.69861699999998
1,8,14,103.636128,137.59766399999998
1,8,15,97.050303,128.698403
1,8,16,79.993124,105.777587
1,8,17,48.396189,63.671631
1,8,18,12.012875,15.725325000000002
1,8,19,-0.0,-0.0
1,8,20,0.0,0.0
1,8,21,0.0,0.0
1,8,22,0.0,0.0
1,8,23,0.0,0.0
1,9,0,0.0,0.0
1,9,1,0.0,0.0
1,9,2,0.0,0.0
1,9,3,0.0,0.0
1,9,4,0.0,0.0
1,9,5,0.0,0.0
1,9,6,0.0,0.0
1,9,7,0.0,0.0
1,9,8,0.0,0.0
1,9,9,-0.0,-0.0
1,9,10,29.619177,38.813316
1,9,11,66.134361,87.081762
1,9,12,89.964196,118.93525199999999
1,9,13,102.41308000000001,135.723134
1,9,14,105.028382,139.296291
1,9,15,97.472046,129.140316
1,9,16,79.213553,104.64848699999999
1,9,17,51.260127999999995,67.43580499999999
1,9,18,13.680018,17.905624
1,9,19,-0.0,-0.0
1,9,20,0.0,0.0
1,9,21,0.0,0.0
1,9,22,0.0,0.0
1,9,23,0.0,0.0
1,10,0,0.0,0.0
1,10,1,0.0,0.0
1,10,2,0.0,0.0
1,10,3,0.0,0.0
1,10,4,0.0,0.0
1,10,5,0.0,0.0
1,10,6,0.0,0.0
1,10,7,0.0,0.0
1,10,8,0.0,0.0
1,10,9,-0.0,-0.0
1,10,10,22.908818,29.992017
1,10,11,55.549648999999995,73.04612399999999
1,10,12,78.076734,103.06356299999999
1,10,13,91.65966800000001,121.286315
1,10,14,95.467536,126.41658199999999
1,10,15,89.646091,118.603312
1,10,16,60.005252999999996,79.022649
1,10,17,45.482887999999996,59.782053999999995
1,10,18,11.512476000000001,15.064442
1,10,19,-0.0,-0.0
1,10,20,0.0,0.0
1,10,21,0.0,0.0
1,10,22,0.0,0.0
1,10,23,0.0,0.0
1,11,0,0.0,0.0
1,11,1,0.0,0.0
1,11,2,0.0,0.0
1,11,3,0.0,0.0
1,11,4,0.0,0.0
1,11,5,0.0,0.0
1,11,6,0.0,0.0
1,11,7,0.0,0.0
1,11,8,0.0,0.0
1,11,9,-0.0,-0.0
1,11,10,25.479342,33.383462
1,11,11,59.141022,77.890523
1,11,12,81.685107,108.05358100000001
1,11,13,94.986247,125.957963
1,11,14,98.86856200000001,131.19956299999998
1,11,15,92.61174000000001,122.76205
1,11,16,76.918772,101.71821000000001
1,11,17,49.728131999999995,65.471508
1,11,18,13.588906999999999,17.794956
1,11,19,-0.0,-0.0
1,11,20,0.0,0.0
1,11,21,0.0,0.0
1,11,22,0.0,0.0
1,11,23,0.0,0.0
1,12,0,0.0,0.0
1,12,1,0.0,0.0
1,12,2,0.0,0.0
1,12,3,0.0,0.0
1,12,4,0.0,0.0
1,12,5,0.0,0.0
1,12,6,0.0,0.0
1,12,7,0.0,0.0
1,12,8,0.0,0.0
1,12,9,-0.0,-0.0
1,12,10,14.843933000000002,19.415581999999997
1,12,11,36.589844,47.99046499999999
1,12,12,78.538805,103.719605
1,12,13,93.427582,123.763055
1,12,14,97.688894,129.555823
1,12,15,9.068507,11.866581
1,12,16,13.829462,18.108494
1,12,17,22.346644,29.291716
1,12,18,5.856429,7.657414
1,12,19,-0.0,-0.0
1,12,20,0.0,0.0
1,12,21,0.0,0.0
1,12,22,0.0,0.0
1,12,23,0.0,0.0
1,13,0,0.0,0.0
1,13,1,0.0,0.0
1,13,2,0.0,0.0
1,13,3,0.0,0.0
1,13,4,0.0,0.0
1,13,5,0.0,0.0
1,13,6,0.0,0.0
1,13,7,0.0,0.0
1,13,8,0.0,0.0
1,13,9,-0.0,-0.0
1,13,10,13.530610000000001,17.705157
1,13,11,33.67635,44.180492
1,13,12,43.861796000000005,57.635067
1,13,13,71.163549,93.94732
1,13,14,57.559936,75.82987200000001
1,13,15,72.68425599999999,95.99169599999999
1,13,16,67.807534,89.485456
1,13,17,41.271269000000004,54.237308
1,13,18,9.17143,12.001322
1,13,19,-0.0,-0.0
1,13,20,0.0,0.0
1,13,21,0.0,0.0
1,13,22,0.0,0.0
1,13,23,0.0,0.0
1,14,0,0.0,0.0
1,14,1,0.0,0.0
1,14,2,0.0,0.0
1,14,3,0.0,0.0
1,14,4,0.0,0.0
1,14,5,0.0,0.0
1,14,6,0.0,0.0
1,14,7,0.0,0.0
1,14,8,0.0,0.0
1,14,9,-0.0,-0.0
1,14,10,19.463067,25.497055
1,14,11,51.793796,68.176167
1,14,12,74.59187399999999,98.633378
1,14,13,87.404382,115.969416
1,14,14,87.264394,115.80288800000001
1,14,15,81.38107600000001,107.876441
1,14,16,66.697318,88.15535000000001
1,14,17,41.944093,55.190566
1,14,18,10.758063,14.08844
1,14,19,-0.0,-0.0
1,14,20,0.0,0.0
1,14,21,0.0,0.0
1,14,22,0.0,0.0
1,14,23,0.0,0.0
1,15,0,0.0,0.0
1,15,1,0.0,0.0
1,15,2,0.0,0.0
1,15,3,0.0,0.0
1,15,4,0.0,0.0
1,15,5,0.0,0.0
1,15,6,0.0,0.0
1,15,7,0.0,0.0
1,15,8,0.0,0.0
1,15,9,-0.0,-0.0
1,15,10,6.833696,8.933834000000001
1,15,11,20.426148,26.752136
1,15,12,70.10361,92.48531200000001
1,15,13,83.952099,111.03817
1,15,14,88.351152,116.962552
1,15,15,83.06947699999999,109.86911199999999
1,15,16,67.683548,89.300606
1,15,17,42.439388,55.78559
1,15,18,11.294749,14.786157
1,15,19,-0.0,-0.0
1,15,20,0.0,0.0
1,15,21,0.0,0.0
1,15,22,0.0,0.0
1,15,23,0.0,0.0
1,16,0,0.0,0.0
1,16,1,0.0,0.0
1,16,2,0.0,0.0
1,16,3,0.0,0.0
1,16,4,0.0,0.0
1,16,5,0.0,0.0
1,16,6,0.0,0.0
1,16,7,0.0,0.0
1,16,8,0.0,0.0
1,16,9,-0.0,-0.0
1,16,10,0.22118000000000002,0.277963
1,16,11,0.9818579999999999,1.2750050000000002
1,16,12,20.050956999999997,26.266617
1,16,13,46.040881999999996,60.524183
1,16,14,84.620952,111.90896400000001
1,16,15,61.670504,81.267518
1,16,16,73.010208,96.396057
1,16,17,46.569921,61.242871
1,16,18,13.582595999999999,17.782031
1,16,19,-0.0,-0.0
1,16,20,0.0,0.0
1,16,21,0.0,0.0
1,16,22,0.0,0.0
1,16,23,0.0,0.0
1,17,0,0.0,0.0
1,17,1,0.0,0.0
1,17,2,0.0,0.0
1,17,3,0.0,0.0
1,17,4,0.0,0.0
1,17,5,0.0,0.0
1,17,6,0.0,0.0
1,17,7,0.0,0.0
1,17,8,0.0,0.0
1,17,9,-0.0,-0.0
1,17,10,30.325298999999998,39.774521
1,17,11,65.474193,86.36702000000001
1,17,12,88.03289500000001,116.633349
1,17,13,101.542644,134.874106
1,17,14,105.556867,140.283232
1,17,15,100.011573,132.734347
1,17,16,84.32899099999999,111.58550199999999
1,17,17,58.433462,76.988145
1,17,18,21.216689,27.801958
1,17,19,-0.0,-0.0
1,17,20,0.0,0.0
1,17,21,0.0,0.0
1,17,22,0.0,0.0
1,17,23,0.0,0.0
1,18,0,0.0,0.0
1,18,1,0.0,0.0
1,18,2,0.0,0.0
1,18,3,0.0,0.0
1,18,4,0.0,0.0
1,18,5,0.0,0.0
1,18,6,0.0,0.0
1,18,7,0.0,0.0
1,18,8,0.0,0.0
1,18,9,-0.0,-0.0
1,18,10,30.298963,39.699121
1,18,11,66.89788499999999,88.11136599999999
1,18,12,89.35482,118.17363499999999
1,18,13,103.13458299999999,136.724898
1,18,14,106.317602,141.03970199999998
1,18,15,99.23000599999999,131.503381
1,18,16,81.759624,108.07005199999999
1,18,17,54.29307,71.472462
1,18,18,18.272225,23.9329
1,18,19,-0.0,-0.0
1,18,20,0.0,0.0
1,18,21,0.0,0.0
1,18,22,0.0,0.0
1,18,23,0.0,0.0
1,19,0,0.0,0.0
1,19,1,0.0,0.0
1,19,2,0.0,0.0
1,19,3,0.0,0.0
1,19,4,0.0,0.0
1,19,5,0.0,0.0
1,19,6,0.0,0.0
1,19,7,0.0,0.0
1,19,8,0.0,0.0
1,19,9,-0.0,-0.0
1,19,10,26.662791000000002,34.925489999999996
1,19,11,61.181612,80.514638
1,19,12,85.196769,112.559081
1,19,13,98.87161900000001,130.962365
1,19,14,100.13565700000001,132.696309
1,19,15,93.801562,124.204418
1,19,16,76.502807,101.049626
1,19,17,49.556249,65.198
1,19,18,7.8050429999999995,10.210589
1,19,19,-0.0,-0.0
1,19,20,0.0,0.0
1,19,21,0.0,0.0
1,19,22,0.0,0.0
1,19,23,0.0,0.0
1,20,0,0.0,0.0
1,20,1,0.0,0.0
1,20,2,0.0,0.0
1,20,3,0.0,0.0
1,20,4,0.0,0.0
1,20,5,0.0,0.0
1,20,6,0.0,0.0
1,20,7,0.0,0.0
1,20,8,0.0,0.0
1,20,9,-0.0,-0.0
1,20,10,24.049099,31.505901
1,20,11,57.888928,76.20845600000001
1,20,12,81.79320299999999,108.140908
1,20,13,95.197071,126.23225500000001
1,20,14,98.961129,131.345602
1,20,15,84.224954,111.47912
1,20,16,77.07892,101.911954
1,20,17,50.849742,66.942219
1,20,18,17.110395,22.411814
1,20,19,-0.0,-0.0
1,20,20,0.0,0.0
1,20,21,0.0,0.0
1,20,22,0.0,0.0
1,20,23,0.0,0.0
1,21,0,0.0,0.0
1,21,1,0.0,0.0
1,21,2,0.0,0.0
1,21,3,0.0,0.0
1,21,4,0.0,0.0
1,21,5,0.0,0.0
1,21,6,0.0,0.0
1,21,7,0.0,0.0
1,21,8,0.0,0.0
1,21,9,-0.0,-0.0
1,21,10,27.507689,36.019915
1,21,11,37.769616,49.532773999999996
1,21,12,88.151533,116.493652
1,21,13,102.480233,135.814685
1,21,14,103.263538,136.938088
1,21,15,95.367674,126.366471
1,21,16,75.97647,100.415338
1,21,17,41.282173,54.270871
1,21,18,15.158222,19.851964
1,21,19,-0.0,-0.0
1,21,20,0.0,0.0
1,21,21,0.0,0.0
1,21,22,0.0,0.0
1,21,23,0.0,0.0
1,22,0,0.0,0.0
1,22,1,0.0,0.0
1,22,2,0.0,0.0
1,22,3,0.0,0.0
1,22,4,0.0,0.0
1,22,5,0.0,0.0
1,22,6,0.0,0.0
1,22,7,0.0,0.0
1,22,8,0.0,0.0
1,22,9,-0.0,-0.0
1,22,10,13.232573,17.306047
1,22,11,33.050599999999996,43.33074
1,22,12,83.415567,110.148958
1,22,13,95.963208,127.038617
1,22,14,98.55856299999999,130.597698
1,22,15,69.951962,92.307943
1,22,16,27.081187000000003,35.529165
1,22,17,1.577019,2.056159
1,22,18,0.43291199999999996,0.5562849999999999
1,22,19,-0.0,-0.0
1,22,20,0.0,0.0
1,22,21,0.0,0.0
1,22,22,0.0,0.0
1,22,23,0.0,0.0
1,23,0,0.0,0.0
1,23,1,0.0,0.0
1,23,2,0.0,0.0
1,23,3,0.0,0.0
1,23,4,0.0,0.0
1,23,5,0.0,0.0
1,23,6,0.0,0.0
1,23,7,0.0,0.0
1,23,8,0.0,0.0
1,23,9,-0.0,-0.0
1,23,10,21.402068,28.023926
1,23,11,53.788567,70.76997999999999
1,23,12,75.944618,100.398019
1,23,13,88.627673,117.585111
