PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,40.4256
lon,86.9081
system_capacity,200
azimuth,180
tilt,20
losses,10
array_type,1
module_type,1
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,40.40999984741211
lon,86.9000015258789
elev,891.0
tz,8.0
location,189967
city,""
state,Xinjiang Uygur
country,China
solar_resource_file,189967.csv
distance,1875
weather_data_source,NSRDB PSM V3 Himawari tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,-8.2,-8.2,1.2,0.2
Jan,1,1,0.0,0.0,0.0,0.0,0.0,-8.8,-8.8,1.3,0.2
Jan,1,2,0.0,0.0,0.0,0.0,0.0,-9.2,-9.2,1.3,0.2
Jan,1,3,0.0,0.0,0.0,0.0,0.0,-9.3,-9.3,1.3,0.2
Jan,1,4,0.0,0.0,0.0,0.0,0.0,-9.5,-9.5,1.2,0.2
Jan,1,5,0.0,0.0,0.0,0.0,0.0,-9.8,-9.8,1.2,0.2
Jan,1,6,0.0,0.0,0.0,0.0,0.0,-10.3,-10.3,1.2,0.2
Jan,1,7,0.0,0.0,0.0,0.0,0.0,-10.5,-10.5,1.2,0.2
Jan,1,8,0.0,0.0,0.0,0.0,0.0,-13.3,-13.3,2.1,0.2
Jan,1,9,-0.0,0.0,0.0,0.0,0.0,-12.9,0.0,3.2,0.2
Jan,1,10,37595.677,39798.613,218.548,442.0,48.0,-11.3,-6.982,3.9,0.2
Jan,1,11,85043.776,88989.749,451.167,669.0,81.0,-9.0,0.142,3.9,0.2
Jan,1,12,116760.179,121871.276,628.121,773.0,101.0,-6.7,5.836,4.0,0.2
Jan,1,13,134067.32,139814.205,730.903,817.0,112.0,-5.1,9.264,4.1,0.2
Jan,1,14,136461.591,142296.431,748.515,812.0,119.0,-4.1,10.817,4.0,0.2
Jan,1,15,70699.299,74118.318,387.248,267.0,172.0,-3.6,4.217,3.9,0.2
Jan,1,16,97928.061,102347.346,530.9,668.0,108.0,-3.6,7.478,3.7,0.2
Jan,1,17,58294.227,61257.537,323.639,505.0,78.0,-4.6,3.3,2.7,0.2
Jan,1,18,9770.022,10950.764,80.599,152.0,28.0,-6.5,-4.403,1.8,0.2
Jan,1,19,0.0,0.0,0.0,0.0,0.0,-7.8,-7.8,1.6,0.2
Jan,1,20,0.0,0.0,0.0,0.0,0.0,-8.4,-8.4,1.6,0.2
