Year,Month,Day,Hour,Minute,Wind Speed at 100m (m/s),wind_speed,power_output
2023,1,1,0,0,9.82,9.82,1521.0
2023,1,1,1,0,9.12,9.12,1521.0
2023,1,1,2,0,9.15,9.15,1521.0
2023,1,1,3,0,8.16,8.16,1521.0
2023,1,1,4,0,7.71,7.71,1521.0
2023,1,1,5,0,8.48,8.48,1521.0
2023,1,1,6,0,8.57,8.57,1521.0
2023,1,1,7,0,9.0,9.0,1521.0
2023,1,1,8,0,8.870000000000001,8.870000000000001,1521.0
2023,1,1,9,0,8.2,8.2,1521.0
2023,1,1,10,0,7.84,7.84,1521.0
2023,1,1,11,0,7.28,7.28,1521.0
2023,1,1,12,0,6.640000000000001,6.640000000000001,1521.0
2023,1,1,13,0,6.49,6.49,1521.0
2023,1,1,14,0,5.45,5.45,1521.0
2023,1,1,15,0,4.16,4.16,778.9054307036021
2023,1,1,16,0,3.51,3.51,467.8709592449644
2023,1,1,17,0,2.32,2.32,135.10415160894217
2023,1,1,18,0,0.78,0.78,5.134386384032533
2023,1,1,19,0,2.66,2.66,203.63369880428107
2023,1,1,20,0,5.94,5.94,1521.0
2023,1,1,21,0,5.93,5.93,1521.0
2023,1,1,22,0,6.96,6.96,1521.0
2023,1,1,23,0,2.77,2.77,229.95563015715817
2023,1,2,0,0,3.73,3.73,561.4760492476593
2023,1,2,1,0,1.23,1.23,20.133536866972356
2023,1,2,2,0,0.39,0.39,0.6417982980040666
2023,1,2,3,0,2.33,2.33,136.85872920109688
2023,1,2,4,0,3.69,3.69,543.6054954082537
2023,1,2,5,0,4.48,4.48,972.8340927859283
2023,1,2,6,0,4.55,4.55,1019.151926923124
2023,1,2,7,0,4.41,4.41,927.9413085893364
2023,1,2,8,0,4.16,4.16,778.9054307036021
2023,1,2,9,0,4.17,4.17,784.5360506542482
2023,1,2,10,0,4.48,4.48,972.8340927859283
2023,1,2,11,0,3.79,3.79,589.0095954693304
2023,1,2,12,0,4.16,4.16,778.9054307036021
2023,1,2,13,0,4.62,4.62,1066.917077406247
2023,1,2,14,0,3.77,3.77,579.73402555634
2023,1,2,15,0,3.44,3.44,440.4332191550359
2023,1,2,16,0,4.05,4.05,718.7366806789964
2023,1,2,17,0,4.83,4.83,1219.119090984392
2023,1,2,18,0,5.03,5.03,1376.919958640479
2023,1,2,19,0,4.69,4.69,1116.151810640618
2023,1,2,20,0,5.32,5.32,1521.0
2023,1,2,21,0,4.32,4.32,872.28013157368
2023,1,2,22,0,5.01,5.01,1360.5606856699653
2023,1,2,23,0,6.890000000000001,6.890000000000001,1521.0
2023,1,3,0,0,7.95,7.95,1521.0
2023,1,3,1,0,8.73,8.73,1521.0
2023,1,3,2,0,4.86,4.86,1241.9769842133062
2023,1,3,3,0,5.8100000000000005,5.8100000000000005,1521.0
2023,1,3,4,0,6.22,6.22,1521.0
2023,1,3,5,0,7.07,7.07,1521.0
2023,1,3,6,0,8.09,8.09,1521.0
2023,1,3,7,0,7.54,7.54,1521.0
2023,1,3,8,0,8.5,8.5,1521.0
2023,1,3,9,0,7.96,7.96,1521.0
2023,1,3,10,0,9.5,9.5,1521.0
2023,1,3,11,0,9.43,9.43,1521.0
2023,1,3,12,0,10.58,10.58,1521.0
2023,1,3,13,0,9.87,9.87,1521.0
2023,1,3,14,0,10.25,10.25,1521.0
2023,1,3,15,0,10.12,10.12,1521.0
2023,1,3,16,0,10.74,10.74,1521.0
2023,1,3,17,0,10.35,10.35,1521.0
2023,1,3,18,0,10.53,10.53,1521.0
2023,1,3,19,0,11.21,11.21,1521.0
2023,1,3,20,0,11.6,11.6,1521.0
2023,1,3,21,0,10.47,10.47,1521.0
2023,1,3,22,0,10.41,10.41,1521.0
2023,1,3,23,0,10.17,10.17,1521.0
2023,1,4,0,0,9.5,9.5,1521.0
2023,1,4,1,0,9.3,9.3,1521.0
2023,1,4,2,0,9.97,9.97,1521.0
2023,1,4,3,0,7.37,7.37,1521.0
2023,1,4,4,0,3.83,3.83,607.8564954779547
2023,1,4,5,0,3.04,3.04,303.9663375737373
2023,1,4,6,0,4.7,4.7,1123.3066082313628
2023,1,4,7,0,3.82,3.82,603.1076381613841
2023,1,4,8,0,4.34,4.34,884.4513079280267
2023,1,4,9,0,4.91,4.91,1280.7053281617884
2023,1,4,10,0,4.59,4.59,1046.2676480521213
2023,1,4,11,0,6.2700000000000005,6.2700000000000005,1521.0
2023,1,4,12,0,7.29,7.29,1521.0
2023,1,4,13,0,9.09,9.09,1521.0
2023,1,4,14,0,8.73,8.73,1521.0
2023,1,4,15,0,8.24,8.24,1521.0
2023,1,4,16,0,7.85,7.85,1521.0
2023,1,4,17,0,9.47,9.47,1521.0
2023,1,4,18,0,9.27,9.27,1521.0
2023,1,4,19,0,7.78,7.78,1521.0
2023,1,4,20,0,7.12,7.12,1521.0
2023,1,4,21,0,7.65,7.65,1521.0
2023,1,4,22,0,8.13,8.13,1521.0
2023,1,4,23,0,7.97,7.97,1521.0
2023,1,5,0,0,9.19,9.19,1521.0
2023,1,5,1,0,8.370000000000001,8.370000000000001,1521.0
2023,1,5,2,0,9.11,9.11,1521.0
2023,1,5,3,0,8.84,8.84,1521.0
2023,1,5,4,0,9.51,9.51,1521.0
2023,1,5,5,0,9.15,9.15,1521.0
2023,1,5,6,0,9.25,9.25,1521.0
2023,1,5,7,0,9.17,9.17,1521.0
2023,1,5,8,0,8.15,8.15,1521.0
2023,1,5,9,0,7.61,7.61,1521.0
2023,1,5,10,0,8.03,8.03,1521.0
2023,1,5,11,0,8.09,8.09,1521.0
2023,1,5,12,0,7.890000000000001,7.890000000000001,1521.0
2023,1,5,13,0,7.11,7.11,1521.0
2023,1,5,14,0,6.58,6.58,1521.0
2023,1,5,15,0,8.38,8.38,1521.0
2023,1,5,16,0,9.14,9.14,1521.0
2023,1,5,17,0,9.36,9.36,1521.0
2023,1,5,18,0,8.2,8.2,1521.0
2023,1,5,19,0,8.52,8.52,1521.0
2023,1,5,20,0,9.05,9.05,1521.0
2023,1,5,21,0,9.65,9.65,1521.0
2023,1,5,22,0,9.84,9.84,1521.0
2023,1,5,23,0,9.62,9.62,1521.0
2023,1,6,0,0,9.25,9.25,1521.0
2023,1,6,1,0,8.15,8.15,1521.0
2023,1,6,2,0,8.9,8.9,1521.0
2023,1,6,3,0,9.69,9.69,1521.0
2023,1,6,4,0,7.18,7.18,1521.0
2023,1,6,5,0,7.22,7.22,1521.0
2023,1,6,6,0,6.34,6.34,1521.0
2023,1,6,7,0,6.73,6.73,1521.0
2023,1,6,8,0,6.0,6.0,1521.0
2023,1,6,9,0,5.03,5.03,1376.919958640479
2023,1,6,10,0,4.36,4.36,896.735179558289
