Year,Month,Day,Hour,Minute,Wind Speed at 100m (m/s),wind_speed,power_output
2023,1,1,0,0,9.82,9.82,102.49742522303228
2023,1,1,1,0,9.12,9.12,82.10375264596742
2023,1,1,2,0,9.15,9.15,82.91665521423697
2023,1,1,3,0,8.16,8.16,58.80970064872986
2023,1,1,4,0,7.71,7.71,49.60684727560456
2023,1,1,5,0,8.48,8.48,66.00336072461539
2023,1,1,6,0,8.57,8.57,68.12726561862728
2023,1,1,7,0,9.0,9.0,78.9052719226507
2023,1,1,8,0,8.870000000000001,8.870000000000001,75.53519452986521
2023,1,1,9,0,8.2,8.2,59.67879556851586
2023,1,1,10,0,7.84,7.84,52.158690636500424
2023,1,1,11,0,7.28,7.28,41.76116739372866
2023,1,1,12,0,6.640000000000001,6.640000000000001,31.68711723322412
2023,1,1,13,0,6.49,6.49,29.58779376676402
2023,1,1,14,0,5.45,5.45,17.521367522756933
2023,1,1,15,0,4.16,4.16,7.792171175506223
2023,1,1,16,0,3.51,3.51,4.680581825179717
2023,1,1,17,0,2.32,2.32,1.3515821489490016
2023,1,1,18,0,0.78,0.78,0.051364409604166994
2023,1,1,19,0,2.66,2.66,2.0371518487823237
2023,1,1,20,0,5.94,5.94,22.684950056674392
2023,1,1,21,0,5.93,5.93,22.5705723731586
2023,1,1,22,0,6.96,6.96,36.49271802162305
2023,1,1,23,0,2.77,2.77,2.300476492168449
2023,1,2,0,0,3.73,3.73,5.6170072953947505
2023,1,2,1,0,1.23,1.23,0.20141593504374106
2023,1,2,2,0,0.39,0.39,0.006420551200520874
2023,1,2,3,0,2.33,2.33,1.3691349459893645
2023,1,2,4,0,3.69,3.69,5.43823024618101
2023,1,2,5,0,4.48,4.48,9.732233821387837
2023,1,2,6,0,4.55,4.55,10.195597508234535
2023,1,2,7,0,4.41,4.41,9.283126336427935
2023,1,2,8,0,4.16,4.16,7.792171175506223
2023,1,2,9,0,4.17,4.17,7.848499906505084
2023,1,2,10,0,4.48,4.48,9.732233821387837
2023,1,2,11,0,3.79,3.79,5.892452935867651
2023,1,2,12,0,4.16,4.16,7.792171175506223
2023,1,2,13,0,4.62,4.62,10.673440150122516
2023,1,2,14,0,3.77,3.77,5.799660119611245
2023,1,2,15,0,3.44,3.44,4.406094629402118
2023,1,2,16,0,4.05,4.05,7.190242903951544
2023,1,2,17,0,4.83,4.83,12.196069337578951
2023,1,2,18,0,5.03,5.03,13.77470947019287
2023,1,2,19,0,4.69,4.69,11.165984500206262
2023,1,2,20,0,5.32,5.32,16.29721479025859
2023,1,2,21,0,4.32,4.32,8.726291832469787
2023,1,2,22,0,5.01,5.01,13.611051277210535
2023,1,2,23,0,6.890000000000001,6.890000000000001,35.4026815214795
2023,1,3,0,0,7.95,7.95,54.385093370502176
2023,1,3,1,0,8.73,8.73,72.0147112414614
2023,1,3,2,0,4.86,4.86,12.424739738028274
2023,1,3,3,0,5.8100000000000005,5.8100000000000005,21.227892990226316
2023,1,3,4,0,6.22,6.22,26.046516395623016
2023,1,3,5,0,7.07,7.07,38.250466302527265
2023,1,3,6,0,8.09,8.09,57.30916190675659
2023,1,3,7,0,7.54,7.54,46.39728095688996
2023,1,3,8,0,8.5,8.5,66.47146792798061
2023,1,3,9,0,7.96,7.96,54.59057839305299
2023,1,3,10,0,9.5,9.5,92.80028465662915
2023,1,3,11,0,9.43,9.43,90.76398821026658
2023,1,3,12,0,10.58,10.58,128.18449465960313
2023,1,3,13,0,9.87,9.87,104.07105340967036
2023,1,3,14,0,10.25,10.25,116.56014759475757
2023,1,3,15,0,10.12,10.12,112.1811867457429
2023,1,3,16,0,10.74,10.74,134.08843951513586
2023,1,3,17,0,10.35,10.35,120.00505543536137
2023,1,3,18,0,10.53,10.53,126.37570927985234
2023,1,3,19,0,11.21,11.21,152.4738372999507
2023,1,3,20,0,11.6,11.6,168.94776861862525
2023,1,3,21,0,10.47,10.47,124.22772658823415
2023,1,3,22,0,10.41,10.41,122.10422206541679
2023,1,3,23,0,10.17,10.17,113.85218014137693
2023,1,4,0,0,9.5,9.5,92.80028465662915
2023,1,4,1,0,9.3,9.3,87.06173910546991
2023,1,4,2,0,9.97,9.97,107.2664647287331
2023,1,4,3,0,7.37,7.37,43.32922848330767
2023,1,4,4,0,3.83,3.83,6.080997353721036
2023,1,4,5,0,3.04,3.04,3.040879727628424
2023,1,4,6,0,4.7,4.7,11.23756110675633
2023,1,4,7,0,3.82,3.82,6.03348977752485
2023,1,4,8,0,4.34,4.34,8.848052300200347
2023,1,4,9,0,4.91,4.91,12.812178152879035
2023,1,4,10,0,4.59,4.59,10.466863225811538
2023,1,4,11,0,6.2700000000000005,6.2700000000000005,26.67971063764226
2023,1,4,12,0,7.29,7.29,41.93349661584542
2023,1,4,13,0,9.09,9.09,81.29618056717895
2023,1,4,14,0,8.73,8.73,72.0147112414614
2023,1,4,15,0,8.24,8.24,60.55641095881733
2023,1,4,16,0,7.85,7.85,52.35853214618698
2023,1,4,17,0,9.47,9.47,91.92389743933252
2023,1,4,18,0,9.27,9.27,86.22192107222233
2023,1,4,19,0,7.78,7.78,50.970310999882464
2023,1,4,20,0,7.12,7.12,39.0677566100467
2023,1,4,21,0,7.65,7.65,48.45770011949787
2023,1,4,22,0,8.13,8.13,58.163446014761
2023,1,4,23,0,7.97,7.97,54.79658035878447
2023,1,5,0,0,9.19,9.19,84.00884748434056
2023,1,5,1,0,8.370000000000001,8.370000000000001,63.46800780788758
2023,1,5,2,0,9.11,9.11,81.83397054233042
2023,1,5,3,0,8.84,8.84,74.77136129933997
2023,1,5,4,0,9.51,9.51,93.09364677276196
2023,1,5,5,0,9.15,9.15,82.91665521423697
2023,1,5,6,0,9.25,9.25,85.66505355577044
2023,1,5,7,0,9.17,9.17,83.46156030180968
2023,1,5,8,0,8.15,8.15,58.593753371605594
2023,1,5,9,0,7.61,7.61,47.70154689386879
2023,1,5,10,0,8.03,8.03,56.043484327829205
2023,1,5,11,0,8.09,8.09,57.30916190675659
2023,1,5,12,0,7.890000000000001,7.890000000000001,53.16300267412921
2023,1,5,13,0,7.11,7.11,38.903376363471786
2023,1,5,14,0,6.58,6.58,30.83586767693937
2023,1,5,15,0,8.38,8.38,63.69576359990377
2023,1,5,16,0,9.14,9.14,82.64509433249461
2023,1,5,17,0,9.36,9.36,88.75769979600054
2023,1,5,18,0,8.2,8.2,59.67879556851586
2023,1,5,19,0,8.52,8.52,66.94178318010746
2023,1,5,20,0,9.05,9.05,80.22767936143534
2023,1,5,21,0,9.65,9.65,97.2658603313504
2023,1,5,22,0,9.84,9.84,103.12495874239542
2023,1,5,23,0,9.62,9.62,96.36153480295815
2023,1,6,0,0,9.25,9.25,85.66505355577044
2023,1,6,1,0,8.15,8.15,58.593753371605594
2023,1,6,2,0,8.9,8.9,76.30421212899746
2023,1,6,3,0,9.69,9.69,98.4804044798921
2023,1,6,4,0,7.18,7.18,40.0637710385522
2023,1,6,5,0,7.22,7.22,40.73709775742844
2023,1,6,6,0,6.34,6.34,27.58330274748503
2023,1,6,7,0,6.73,6.73,32.99314268200044
2023,1,6,8,0,6.0,6.0,23.379339828933542
