Month,Day,Hour,PV-1 Solar Power,Turbine-1 Power
1,1,0,0.0,2561.0
1,1,1,0.0,2561.0
1,1,2,0.0,2561.0
1,1,3,0.0,2561.0
1,1,4,0.0,2561.0
1,1,5,0.0,2561.0
1,1,6,0.0,2561.0
1,1,7,0.0,2561.0
1,1,8,0.869951,2561.0
1,1,9,6.329255,2561.0
1,1,10,5.777405,2561.0
1,1,11,12.647763999999999,2561.0
1,1,12,8.878881999999999,2561.0
1,1,13,13.293046,2561.0
1,1,14,11.691754999999999,2561.0
1,1,15,8.78098,2561.0
1,1,16,1.4942570000000002,2561.0
1,1,17,-0.0,2561.0
1,1,18,0.0,2561.0
1,1,19,0.0,2561.0
1,1,20,0.0,2561.0
1,1,21,0.0,2561.0
1,1,22,0.0,2561.0
1,1,23,0.0,2561.0
1,2,0,0.0,2561.0
1,2,1,0.0,2561.0
1,2,2,0.0,1749.814220515289
1,2,3,0.0,2561.0
1,2,4,0.0,2561.0
1,2,5,0.0,2561.0
1,2,6,0.0,2561.0
1,2,7,0.0,2561.0
1,2,8,0.044085,2561.0
1,2,9,0.05749,2561.0
1,2,10,3.689821,2561.0
1,2,11,5.944883,2561.0
1,2,12,0.420647,2561.0
1,2,13,1.6985219999999999,2561.0
1,2,14,7.377805,2561.0
1,2,15,2.999631,2561.0
1,2,16,1.13397,2561.0
1,2,17,-0.0,2561.0
1,2,18,0.0,2561.0
1,2,19,0.0,2561.0
1,2,20,0.0,2561.0
1,2,21,0.0,2561.0
1,2,22,0.0,2561.0
1,2,23,0.0,2561.0
1,3,0,0.0,2561.0
1,3,1,0.0,2561.0
1,3,2,0.0,2561.0
1,3,3,0.0,2561.0
1,3,4,0.0,2561.0
1,3,5,0.0,2561.0
1,3,6,0.0,2561.0
1,3,7,0.0,2561.0
1,3,8,0.002819,2561.0
1,3,9,-0.0,2561.0
1,3,10,1.357005,2561.0
1,3,11,1.242915,2561.0
1,3,12,2.419031,2561.0
1,3,13,2.0550059999999997,2561.0
1,3,14,3.81793,2561.0
1,3,15,4.277998999999999,2561.0
1,3,16,0.42944099999999996,2561.0
1,3,17,-0.0,2561.0
1,3,18,0.0,2561.0
1,3,19,0.0,2561.0
1,3,20,0.0,2561.0
1,3,21,0.0,2561.0
1,3,22,0.0,2561.0
1,3,23,0.0,2561.0
1,4,0,0.0,2561.0
1,4,1,0.0,2561.0
1,4,2,0.0,2561.0
1,4,3,0.0,2561.0
1,4,4,0.0,2561.0
1,4,5,0.0,2561.0
1,4,6,0.0,2561.0
1,4,7,0.0,2561.0
1,4,8,0.268597,2561.0
1,4,9,0.289431,2561.0
1,4,10,1.4387619999999999,2561.0
1,4,11,2.038037,2561.0
1,4,12,1.713661,2561.0
1,4,13,2.265612,2561.0
1,4,14,2.046981,2561.0
1,4,15,0.870201,2561.0
1,4,16,0.691507,2561.0
1,4,17,-0.0,2561.0
1,4,18,0.0,2561.0
1,4,19,0.0,2561.0
1,4,20,0.0,2561.0
1,4,21,0.0,2561.0
1,4,22,0.0,2561.0
1,4,23,0.0,2561.0
1,5,0,0.0,2561.0
1,5,1,0.0,2561.0
1,5,2,0.0,2561.0
1,5,3,0.0,2561.0
1,5,4,0.0,2561.0
1,5,5,0.0,2561.0
1,5,6,0.0,2561.0
1,5,7,0.0,2561.0
1,5,8,-0.0,2561.0
1,5,9,0.672926,2561.0
1,5,10,1.403513,2561.0
1,5,11,2.184408,2561.0
1,5,12,2.694142,2561.0
1,5,13,2.488504,2561.0
1,5,14,3.168089,2561.0
1,5,15,1.018342,2561.0
1,5,16,0.532279,2561.0
1,5,17,-0.0,2561.0
1,5,18,0.0,2561.0
1,5,19,0.0,2561.0
1,5,20,0.0,2561.0
1,5,21,0.0,2561.0
1,5,22,0.0,2561.0
1,5,23,0.0,2561.0
1,6,0,0.0,2561.0
1,6,1,0.0,2561.0
1,6,2,0.0,2561.0
1,6,3,0.0,2561.0
1,6,4,0.0,2561.0
1,6,5,0.0,2561.0
1,6,6,0.0,2561.0
1,6,7,0.0,2561.0
1,6,8,0.7639349999999999,2561.0
1,6,9,6.155584,2561.0
1,6,10,10.337367,2561.0
1,6,11,8.693822,2561.0
1,6,12,14.104909,2561.0
1,6,13,13.842778000000001,2561.0
1,6,14,12.235451999999999,2561.0
1,6,15,8.659023999999999,2561.0
1,6,16,3.581503,2561.0
1,6,17,-0.0,2561.0
1,6,18,0.0,2561.0
1,6,19,0.0,2561.0
1,6,20,0.0,2561.0
1,6,21,0.0,2561.0
1,6,22,0.0,2561.0
1,6,23,0.0,2561.0
1,7,0,0.0,2561.0
1,7,1,0.0,2561.0
1,7,2,0.0,2561.0
1,7,3,0.0,2561.0
1,7,4,0.0,2561.0
1,7,5,0.0,2561.0
1,7,6,0.0,2561.0
1,7,7,0.0,2561.0
1,7,8,0.87251,2561.0
1,7,9,6.625678,2561.0
1,7,10,5.666951,2561.0
1,7,11,9.649875,2561.0
1,7,12,14.773367,2561.0
1,7,13,14.577547000000001,2561.0
1,7,14,13.029770000000001,2561.0
1,7,15,10.100054,2561.0
1,7,16,5.486775,2561.0
1,7,17,-0.0,2561.0
1,7,18,0.0,2561.0
1,7,19,0.0,2561.0
1,7,20,0.0,2561.0
1,7,21,0.0,2561.0
1,7,22,0.0,2561.0
1,7,23,0.0,2561.0
1,8,0,0.0,2561.0
1,8,1,0.0,2561.0
1,8,2,0.0,2561.0
1,8,3,0.0,2561.0
1,8,4,0.0,2561.0
1,8,5,0.0,2561.0
1,8,6,0.0,2561.0
1,8,7,0.0,2561.0
1,8,8,0.888914,2561.0
1,8,9,4.408106,2561.0
1,8,10,7.498456,2561.0
1,8,11,9.858143,2561.0
1,8,12,8.484308,2561.0
1,8,13,5.893107,2561.0
1,8,14,3.8949879999999997,2561.0
1,8,15,1.433317,2561.0
1,8,16,0.266252,2561.0
1,8,17,-0.0,2561.0
1,8,18,0.0,2561.0
1,8,19,0.0,2561.0
1,8,20,0.0,2561.0
1,8,21,0.0,2561.0
1,8,22,0.0,2561.0
1,8,23,0.0,2561.0
1,9,0,0.0,2561.0
1,9,1,0.0,2561.0
1,9,2,0.0,2561.0
1,9,3,0.0,2561.0
1,9,4,0.0,2561.0
1,9,5,0.0,2561.0
1,9,6,0.0,2561.0
1,9,7,0.0,2561.0
1,9,8,-0.0,2561.0
1,9,9,-0.0,2561.0
1,9,10,1.119892,2561.0
1,9,11,2.237933,2561.0
1,9,12,3.9166930000000004,2561.0
1,9,13,7.816991,2561.0
1,9,14,5.933466,2561.0
1,9,15,3.517616,2561.0
1,9,16,4.398186,2561.0
1,9,17,-0.0,2561.0
1,9,18,0.0,2561.0
1,9,19,0.0,2561.0
1,9,20,0.0,2561.0
1,9,21,0.0,2561.0
1,9,22,0.0,2561.0
1,9,23,0.0,2561.0
1,10,0,0.0,2561.0
1,10,1,0.0,2561.0
1,10,2,0.0,2561.0
1,10,3,0.0,2561.0
1,10,4,0.0,2561.0
1,10,5,0.0,2561.0
1,10,6,0.0,2561.0
1,10,7,0.0,2561.0
1,10,8,-0.0,2561.0
1,10,9,0.671855,2561.0
1,10,10,4.7529390000000005,2561.0
1,10,11,12.814176,2561.0
1,10,12,14.153585,2561.0
1,10,13,14.051482,2561.0
1,10,14,12.626515999999999,2561.0
1,10,15,9.991295000000001,2561.0
1,10,16,5.582115,2561.0
1,10,17,-0.0,2561.0
1,10,18,0.0,2561.0
1,10,19,0.0,2561.0
1,10,20,0.0,2561.0
1,10,21,0.0,2561.0
1,10,22,0.0,2561.0
1,10,23,0.0,2561.0
1,11,0,0.0,2561.0
1,11,1,0.0,2561.0
1,11,2,0.0,2561.0
1,11,3,0.0,2561.0
1,11,4,0.0,2561.0
1,11,5,0.0,2561.0
1,11,6,0.0,2561.0
1,11,7,0.0,2561.0
1,11,8,-0.0,2561.0
1,11,9,0.7406130000000001,2561.0
1,11,10,2.412589,2561.0
1,11,11,9.137331,2561.0
1,11,12,3.99981,2561.0
1,11,13,8.36523,2561.0
1,11,14,13.182575,2561.0
1,11,15,10.372665999999999,2561.0
1,11,16,5.843287,2561.0
1,11,17,-0.0,2561.0
1,11,18,0.0,2561.0
1,11,19,0.0,2561.0
1,11,20,0.0,2561.0
1,11,21,0.0,2561.0
1,11,22,0.0,2561.0
1,11,23,0.0,2561.0
1,12,0,0.0,2561.0
1,12,1,0.0,2561.0
1,12,2,0.0,2561.0
1,12,3,0.0,2561.0
1,12,4,0.0,2561.0
1,12,5,0.0,2561.0
1,12,6,0.0,2561.0
1,12,7,0.0,2561.0
1,12,8,0.87763,2561.0
