Month,Day,Hour,PV-1 Solar Power,Turbine-1 Power
1,1,0,0.0,1800.0
1,1,1,0.0,1800.0
1,1,2,0.0,1800.0
1,1,3,0.0,1800.0
1,1,4,0.0,1800.0
1,1,5,0.0,1800.0
1,1,6,0.0,1800.0
1,1,7,0.0,1800.0
1,1,8,8.285244,1800.0
1,1,9,60.278619,1800.0
1,1,10,55.0229,1800.0
1,1,11,120.454897,1800.0
1,1,12,84.560779,1800.0
1,1,13,126.60044,1800.0
1,1,14,111.350044,1800.0
1,1,15,83.62838099999999,1800.0
1,1,16,14.231020000000001,1800.0
1,1,17,-0.0,1800.0
1,1,18,0.0,178.06328662777895
1,1,19,0.0,1800.0
1,1,20,0.0,1800.0
1,1,21,0.0,1800.0
1,1,22,0.0,1800.0
1,1,23,0.0,1800.0
1,2,0,0.0,1800.0
1,2,1,0.0,698.2419081516357
1,2,2,0.0,22.25791082847237
1,2,3,0.0,1800.0
1,2,4,0.0,1800.0
1,2,5,0.0,1800.0
1,2,6,0.0,1800.0
1,2,7,0.0,1800.0
1,2,8,0.419856,1800.0
1,2,9,0.547528,1800.0
1,2,10,35.14115,1800.0
1,2,11,56.617931,1800.0
1,2,12,4.006158,1800.0
1,2,13,16.176403,1800.0
1,2,14,70.264812,1800.0
1,2,15,28.567918000000002,1800.0
1,2,16,10.79971,1800.0
1,2,17,-0.0,1800.0
1,2,18,0.0,1800.0
1,2,19,0.0,1800.0
1,2,20,0.0,1800.0
1,2,21,0.0,1800.0
1,2,22,0.0,1800.0
1,2,23,0.0,1800.0
1,3,0,0.0,1800.0
1,3,1,0.0,1800.0
1,3,2,0.0,1800.0
1,3,3,0.0,1800.0
1,3,4,0.0,1800.0
1,3,5,0.0,1800.0
1,3,6,0.0,1800.0
1,3,7,0.0,1800.0
1,3,8,0.026844999999999997,1800.0
1,3,9,-0.0,1800.0
1,3,10,12.923861,1800.0
1,3,11,11.837284,1800.0
1,3,12,23.038389,1800.0
1,3,13,19.571486,1800.0
1,3,14,36.361233999999996,1800.0
1,3,15,40.742849,1800.0
1,3,16,4.089912,1800.0
1,3,17,-0.0,1800.0
1,3,18,0.0,1800.0
1,3,19,0.0,1800.0
1,3,20,0.0,1800.0
1,3,21,0.0,1800.0
1,3,22,0.0,1800.0
1,3,23,0.0,1800.0
1,4,0,0.0,1800.0
1,4,1,0.0,1800.0
1,4,2,0.0,1800.0
1,4,3,0.0,1800.0
1,4,4,0.0,1800.0
1,4,5,0.0,1800.0
1,4,6,0.0,1800.0
1,4,7,0.0,1800.0
1,4,8,2.558064,1800.0
1,4,9,2.756482,1800.0
1,4,10,13.702496,1800.0
1,4,11,19.409876,1800.0
1,4,12,16.320584999999998,1800.0
1,4,13,21.577261,1800.0
1,4,14,19.495055,1800.0
1,4,15,8.287626,1800.0
1,4,16,6.5857790000000005,1800.0
1,4,17,-0.0,1800.0
1,4,18,0.0,1800.0
1,4,19,0.0,1800.0
1,4,20,0.0,1800.0
1,4,21,0.0,1800.0
1,4,22,0.0,1800.0
1,4,23,0.0,1800.0
1,5,0,0.0,1800.0
1,5,1,0.0,1800.0
1,5,2,0.0,1800.0
1,5,3,0.0,1800.0
1,5,4,0.0,1800.0
1,5,5,0.0,1800.0
1,5,6,0.0,1800.0
1,5,7,0.0,1800.0
1,5,8,-0.0,1800.0
1,5,9,6.408817,1800.0
1,5,10,13.366790000000002,1800.0
1,5,11,20.803883000000003,1800.0
1,5,12,25.6585,1800.0
1,5,13,23.700039,1800.0
1,5,14,30.172275000000003,1800.0
1,5,15,9.698491,1800.0
1,5,16,5.069326,1800.0
1,5,17,-0.0,1800.0
1,5,18,0.0,1800.0
1,5,19,0.0,1800.0
1,5,20,0.0,1800.0
1,5,21,0.0,1800.0
1,5,22,0.0,1800.0
1,5,23,0.0,1800.0
1,6,0,0.0,1800.0
1,6,1,0.0,1800.0
1,6,2,0.0,1800.0
1,6,3,0.0,1800.0
1,6,4,0.0,1800.0
1,6,5,0.0,1800.0
1,6,6,0.0,1800.0
1,6,7,0.0,1800.0
1,6,8,7.2755730000000005,1800.0
1,6,9,58.624605,1800.0
1,6,10,98.451116,1800.0
1,6,11,82.798307,1800.0
1,6,12,134.33246499999998,1800.0
1,6,13,131.835978,1800.0
1,6,14,116.528116,1800.0
1,6,15,82.46689500000001,1800.0
1,6,16,34.109557,1800.0
1,6,17,-0.0,1800.0
1,6,18,0.0,1800.0
1,6,19,0.0,1800.0
1,6,20,0.0,1800.0
1,6,21,0.0,1800.0
1,6,22,0.0,46.90299657039137
1,6,23,0.0,805.4891744375751
1,7,0,0.0,1800.0
1,7,1,0.0,1800.0
1,7,2,0.0,1800.0
1,7,3,0.0,1800.0
1,7,4,0.0,1800.0
1,7,5,0.0,1800.0
1,7,6,0.0,1800.0
1,7,7,0.0,1800.0
1,7,8,8.309617,1800.0
1,7,9,63.101698,1800.0
1,7,10,53.970957999999996,1800.0
1,7,11,91.903567,1800.0
