Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power,Turbine-1 Power,Turbine-2 Power
1,1,0,0.0,0.0,1500.0,3000.0
1,1,1,0.0,0.0,1500.0,3000.0
1,1,2,0.0,0.0,1500.0,3000.0
1,1,3,0.0,0.0,1500.0,3000.0
1,1,4,0.0,0.0,1500.0,3000.0
1,1,5,0.0,0.0,1500.0,3000.0
1,1,6,0.0,0.0,1500.0,3000.0
1,1,7,0.0,0.0,1500.0,3000.0
1,1,8,8.285244,14.22875,1500.0,3000.0
1,1,9,60.278619,104.01131699999999,1500.0,3000.0
1,1,10,55.0229,94.922149,1500.0,3000.0
1,1,11,120.454897,209.560895,1500.0,3000.0
1,1,12,84.560779,146.506228,1500.0,3000.0
1,1,13,126.60044,220.717481,1500.0,3000.0
1,1,14,111.350044,193.756053,1500.0,3000.0
1,1,15,83.62838099999999,144.91940599999998,1500.0,3000.0
1,1,16,14.231020000000001,24.463067,1500.0,3000.0
1,1,17,-0.0,-0.0,1500.0,3000.0
1,1,18,0.0,0.0,198.6090504694457,171.2146986805567
1,1,19,0.0,0.0,1500.0,3000.0
1,1,20,0.0,0.0,1500.0,3000.0
1,1,21,0.0,0.0,1500.0,3000.0
1,1,22,0.0,0.0,1500.0,3000.0
1,1,23,0.0,0.0,1500.0,3000.0
1,2,0,0.0,0.0,1500.0,3000.0
1,2,1,0.0,0.0,778.8082821691321,671.3864501458036
1,2,2,0.0,0.0,24.826131308680715,21.401837335069583
1,2,3,0.0,0.0,1500.0,3000.0
1,2,4,0.0,0.0,1500.0,3000.0
1,2,5,0.0,0.0,1500.0,3000.0
1,2,6,0.0,0.0,1500.0,3000.0
1,2,7,0.0,0.0,1500.0,3000.0
1,2,8,0.419856,0.705407,1500.0,3000.0
1,2,9,0.547528,0.925692,1500.0,3000.0
1,2,10,35.14115,60.548593999999994,1500.0,3000.0
1,2,11,56.617931,97.770183,1500.0,3000.0
1,2,12,4.006158,6.885228,1500.0,3000.0
1,2,13,16.176403,27.847727,1500.0,3000.0
1,2,14,70.264812,121.545042,1500.0,3000.0
1,2,15,28.567918000000002,49.217868,1500.0,3000.0
1,2,16,10.79971,18.579448,1500.0,3000.0
1,2,17,-0.0,-0.0,1500.0,3000.0
1,2,18,0.0,0.0,1500.0,3000.0
1,2,19,0.0,0.0,1500.0,3000.0
1,2,20,0.0,0.0,1500.0,3000.0
1,2,21,0.0,0.0,1500.0,3000.0
1,2,22,0.0,0.0,1500.0,3000.0
1,2,23,0.0,0.0,1500.0,3000.0
1,3,0,0.0,0.0,1500.0,3000.0
1,3,1,0.0,0.0,1500.0,3000.0
1,3,2,0.0,0.0,1500.0,3000.0
1,3,3,0.0,0.0,1500.0,3000.0
1,3,4,0.0,0.0,1500.0,3000.0
1,3,5,0.0,0.0,1500.0,3000.0
1,3,6,0.0,0.0,1500.0,3000.0
1,3,7,0.0,0.0,1500.0,3000.0
1,3,8,0.026844999999999997,0.026536999999999998,1500.0,3000.0
1,3,9,-0.0,-0.0,1500.0,3000.0
1,3,10,12.923861,22.210342,1500.0,3000.0
1,3,11,11.837284,20.346502,1500.0,3000.0
1,3,12,23.038389,39.647006000000005,1500.0,3000.0
1,3,13,19.571486,33.674628,1500.0,3000.0
1,3,14,36.361233999999996,62.640547,1500.0,3000.0
1,3,15,40.742849,70.200378,1500.0,3000.0
1,3,16,4.089912,7.020282,1500.0,3000.0
1,3,17,-0.0,-0.0,1500.0,3000.0
1,3,18,0.0,0.0,1500.0,3000.0
1,3,19,0.0,0.0,1500.0,3000.0
1,3,20,0.0,0.0,1500.0,3000.0
1,3,21,0.0,0.0,1500.0,3000.0
1,3,22,0.0,0.0,1500.0,3000.0
1,3,23,0.0,0.0,1500.0,3000.0
1,4,0,0.0,0.0,1500.0,3000.0
1,4,1,0.0,0.0,1500.0,3000.0
1,4,2,0.0,0.0,1500.0,3000.0
1,4,3,0.0,0.0,1500.0,3000.0
1,4,4,0.0,0.0,1500.0,3000.0
1,4,5,0.0,0.0,1500.0,3000.0
1,4,6,0.0,0.0,1500.0,3000.0
1,4,7,0.0,0.0,1500.0,3000.0
1,4,8,2.558064,4.379477,1500.0,3000.0
1,4,9,2.756482,4.721111,1500.0,3000.0
1,4,10,13.702496,23.537295999999998,1500.0,3000.0
1,4,11,19.409876,33.355224,1500.0,3000.0
1,4,12,16.320584999999998,28.040371,1500.0,3000.0
1,4,13,21.577261,37.086414,1500.0,3000.0
1,4,14,19.495055,33.502917000000004,1500.0,3000.0
1,4,15,8.287626,14.229022,1500.0,3000.0
1,4,16,6.5857790000000005,11.304133,1500.0,3000.0
1,4,17,-0.0,-0.0,1500.0,3000.0
1,4,18,0.0,0.0,1500.0,3000.0
1,4,19,0.0,0.0,1500.0,3000.0
1,4,20,0.0,0.0,1500.0,3000.0
1,4,21,0.0,0.0,1500.0,3000.0
1,4,22,0.0,0.0,1500.0,3000.0
1,4,23,0.0,0.0,1500.0,3000.0
1,5,0,0.0,0.0,1500.0,3000.0
1,5,1,0.0,0.0,1500.0,3000.0
1,5,2,0.0,0.0,1500.0,3000.0
1,5,3,0.0,0.0,1500.0,3000.0
1,5,4,0.0,0.0,1500.0,3000.0
1,5,5,0.0,0.0,1500.0,3000.0
1,5,6,0.0,0.0,1500.0,3000.0
1,5,7,0.0,0.0,1500.0,3000.0
1,5,8,-0.0,-0.0,1500.0,3000.0
1,5,9,6.408817,10.994247,1500.0,3000.0
1,5,10,13.366790000000002,22.95744,1500.0,3000.0
1,5,11,20.803883000000003,35.755558,1500.0,3000.0
1,5,12,25.6585,44.120523999999996,1500.0,3000.0
1,5,13,23.700039,40.745925,1500.0,3000.0
1,5,14,30.172275000000003,51.89971,1500.0,3000.0
1,5,15,9.698491,16.654781,1500.0,3000.0
1,5,16,5.069326,8.696662,1500.0,3000.0
1,5,17,-0.0,-0.0,1500.0,3000.0
1,5,18,0.0,0.0,1500.0,3000.0
1,5,19,0.0,0.0,1500.0,3000.0
1,5,20,0.0,0.0,1500.0,3000.0
1,5,21,0.0,0.0,1500.0,3000.0
1,5,22,0.0,0.0,1500.0,3000.0
1,5,23,0.0,0.0,1500.0,3000.0
1,6,0,0.0,0.0,1500.0,3000.0
1,6,1,0.0,0.0,1500.0,3000.0
1,6,2,0.0,0.0,1500.0,3000.0
1,6,3,0.0,0.0,1500.0,3000.0
1,6,4,0.0,0.0,1500.0,3000.0
1,6,5,0.0,0.0,1500.0,3000.0
1,6,6,0.0,0.0,1500.0,3000.0
1,6,7,0.0,0.0,1500.0,3000.0
1,6,8,7.2755730000000005,12.489327999999999,1500.0,3000.0
1,6,9,58.624605,101.080128,1500.0,3000.0
1,6,10,98.451116,170.444753,1500.0,3000.0
1,6,11,82.798307,143.14585200000002,1500.0,3000.0
1,6,12,134.33246499999998,233.668181,1500.0,3000.0
1,6,13,131.835978,229.33463500000002,1500.0,3000.0
1,6,14,116.528116,202.413913,1500.0,3000.0
1,6,15,82.46689500000001,142.689108,1500.0,3000.0
