PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,40.436539
lon,-86.920203
system_capacity,350
azimuth,180
tilt,20
losses,10
array_type,1
module_type,1
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,40.45000076293945
lon,-86.94000244140625
elev,209.1999969482422
tz,-5.0
location,917753
city,""
state,Indiana
country,United States
solar_resource_file,917753.csv
distance,2246
weather_data_source,NSRDB PSM V3 GOES tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.16
Jan,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.16
Jan,1,2,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.16
Jan,1,3,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.16
Jan,1,4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.9,0.16
Jan,1,5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.7,0.16
Jan,1,6,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.6,0.16
Jan,1,7,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.16
Jan,1,8,14228.75,16189.661,88.892,296.0,15.0,0.0,1.599,3.1,0.16
Jan,1,9,104011.317,109270.451,339.904,668.0,43.0,1.0,8.237,3.5,0.16
Jan,1,10,94922.149,99847.385,303.076,278.0,121.0,3.0,9.722,3.3,0.16
Jan,1,11,209560.895,218697.463,675.445,867.0,65.0,5.0,20.761,3.0,0.16
Jan,1,12,146506.228,153326.44,477.238,384.0,168.0,7.0,18.491,2.8,0.16
Jan,1,13,220717.481,230263.893,726.888,878.0,71.0,8.0,26.508,2.5,0.16
Jan,1,14,193756.053,202312.019,634.711,831.0,69.0,7.0,25.18,1.9,0.16
Jan,1,15,144919.406,151681.325,467.709,721.0,63.0,5.0,19.287,1.6,0.16
Jan,1,16,24463.067,26799.942,87.481,56.0,57.0,3.0,5.467,1.9,0.16
Jan,1,17,-0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.3,0.16
Jan,1,18,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.7,0.16
Jan,1,19,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.4,0.16
Jan,1,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.9,0.16
Jan,1,21,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.1,0.16
Jan,1,22,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.3,0.16
Jan,1,23,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.6,0.16
Jan,2,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.7,0.16
Jan,2,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.4,0.16
Jan,2,2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.2,0.16
Jan,2,3,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.8,0.16
Jan,2,4,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.6,0.16
Jan,2,5,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.1,0.16
Jan,2,6,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.3,0.16
Jan,2,7,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.4,0.16
Jan,2,8,705.407,2169.529,11.358,0.0,12.0,7.0,7.139,6.7,0.16
Jan,2,9,925.692,2397.907,8.503,0.0,9.0,8.0,8.116,7.1,0.16
Jan,2,10,60548.594,64211.096,200.761,91.0,131.0,10.0,12.606,7.7,0.16
Jan,2,11,97770.183,102800.044,320.817,183.0,174.0,12.0,15.84,8.6,0.16
Jan,2,12,6885.228,8576.37,29.363,0.0,31.0,13.0,13.336,9.1,0.16
Jan,2,13,27847.727,30308.94,99.406,0.0,103.0,14.0,15.146,9.0,0.16
Jan,2,14,121545.042,127448.289,397.364,344.0,146.0,14.0,18.764,8.6,0.16
Jan,2,15,49217.868,52464.128,166.606,78.0,116.0,13.0,15.047,8.3,0.16
Jan,2,16,18579.448,20700.185,69.778,25.0,56.0,12.0,12.905,7.6,0.16
Jan,2,17,-0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.5,0.16
Jan,2,18,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,0.16
Jan,2,19,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.7,0.16
Jan,2,20,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.8,0.16
Jan,2,21,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.1,0.16
Jan,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.16
Jan,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.16
Jan,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.16
Jan,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.16
Jan,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.16
