PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,40.4258686
lon,-86.9080655
system_capacity,250
azimuth,180
tilt,20
losses,10
array_type,1
module_type,2
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,40.40999984741211
lon,-86.9000015258789
elev,176.64999389648438
tz,-5.0
location,918414
city,""
state,Indiana
country,United States
solar_resource_file,918414.csv
distance,1902
weather_data_source,NSRDB PSM V3 GOES tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,3,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.14
Jan,1,4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.9,0.14
Jan,1,5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.7,0.14
Jan,1,6,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.14
Jan,1,7,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.14
Jan,1,8,10348.185,11755.624,90.308,297.0,16.0,0.0,1.746,3.1,0.14
Jan,1,9,74649.938,78419.545,339.967,667.0,43.0,1.0,8.505,3.5,0.14
Jan,1,10,121590.994,127085.012,537.115,800.0,58.0,3.0,15.358,3.3,0.14
Jan,1,11,149878.723,156411.91,675.093,866.0,65.0,5.0,21.304,3.0,0.14
Jan,1,12,109226.456,114266.254,496.076,400.0,165.0,7.0,19.368,2.8,0.14
Jan,1,13,157765.165,164588.065,725.496,876.0,71.0,8.0,27.122,2.5,0.14
Jan,1,14,138463.032,144576.856,632.688,828.0,69.0,7.0,25.755,1.9,0.14
Jan,1,15,103389.8,108215.185,464.921,716.0,63.0,5.0,19.697,1.6,0.14
Jan,1,16,20616.298,22400.943,101.529,91.0,58.0,3.0,5.968,1.9,0.14
Jan,1,17,-0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.3,0.14
Jan,1,18,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.7,0.14
Jan,1,19,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.4,0.14
Jan,1,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.9,0.14
Jan,1,21,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.1,0.14
Jan,1,22,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.3,0.14
Jan,1,23,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.6,0.14
Jan,2,0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.7,0.14
Jan,2,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.4,0.14
Jan,2,2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.2,0.14
Jan,2,3,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.8,0.14
Jan,2,4,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.6,0.14
Jan,2,5,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.1,0.14
Jan,2,6,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.3,0.14
Jan,2,7,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.4,0.14
Jan,2,8,639.604,1690.392,12.3,0.0,13.0,7.0,7.16,6.7,0.14
Jan,2,9,-0.0,551.969,2.831,0.0,3.0,8.0,8.04,7.1,0.14
Jan,2,10,30850.42,33011.023,144.918,26.0,122.0,10.0,11.946,7.7,0.14
Jan,2,11,20905.625,22700.899,101.948,0.0,105.0,12.0,13.26,8.6,0.14
Jan,2,12,4978.399,6188.575,29.344,0.0,31.0,14.0,14.347,9.1,0.14
Jan,2,13,462.887,1507.184,7.565,0.0,8.0,14.0,14.09,9.0,0.14
Jan,2,14,48964.458,51790.491,227.859,80.0,163.0,14.0,16.822,8.6,0.14
Jan,2,15,40991.726,43524.876,190.695,108.0,117.0,13.0,15.427,8.3,0.14
Jan,2,16,13888.277,15425.763,71.929,31.0,56.0,12.0,12.967,7.6,0.14
Jan,2,17,-0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.5,0.14
Jan,2,18,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,0.14
Jan,2,19,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.7,0.14
Jan,2,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8,0.14
Jan,2,21,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1,0.14
Jan,2,22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.7,0.14
Jan,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.14
Jan,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.14
Jan,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.14
