Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power,Turbine-1 Power,Turbine-2 Power
1,1,0,0.0,0.0,2000.0,4000.0
1,1,1,0.0,0.0,2000.0,4000.0
1,1,2,0.0,0.0,2000.0,4000.0
1,1,3,0.0,0.0,2000.0,4000.0
1,1,4,0.0,0.0,2000.0,4000.0
1,1,5,0.0,0.0,2000.0,4000.0
1,1,6,0.0,0.0,2000.0,4000.0
1,1,7,0.0,0.0,2000.0,4000.0
1,1,8,8.285244,12.196071,2000.0,4000.0
1,1,9,60.278619,89.152558,2000.0,4000.0
1,1,10,55.0229,81.36184200000001,2000.0,4000.0
1,1,11,120.454897,179.623624,2000.0,4000.0
1,1,12,84.560779,125.576767,2000.0,4000.0
1,1,13,126.60044,189.18641200000002,2000.0,4000.0
1,1,14,111.350044,166.076616,2000.0,4000.0
1,1,15,83.62838099999999,124.216633,2000.0,4000.0
1,1,16,14.231020000000001,20.968343,2000.0,4000.0
1,1,17,-0.0,-0.0,2000.0,3424.0081106708044
1,1,18,0.0,0.0,198.6090504694457,130.12317099722307
1,1,19,0.0,0.0,2000.0,4000.0
1,1,20,0.0,0.0,2000.0,4000.0
1,1,21,0.0,0.0,2000.0,4000.0
1,1,22,0.0,0.0,2000.0,4000.0
1,1,23,0.0,0.0,2000.0,4000.0
1,2,0,0.0,0.0,2000.0,4000.0
1,2,1,0.0,0.0,778.8082821691321,510.2537021108108
1,2,2,0.0,0.0,24.826131308680715,16.265396374652884
1,2,3,0.0,0.0,2000.0,3468.4751965063906
1,2,4,0.0,0.0,2000.0,4000.0
1,2,5,0.0,0.0,2000.0,4000.0
1,2,6,0.0,0.0,2000.0,4000.0
1,2,7,0.0,0.0,2000.0,4000.0
1,2,8,0.419856,0.604635,2000.0,4000.0
1,2,9,0.547528,0.793451,2000.0,4000.0
1,2,10,35.14115,51.898795,2000.0,4000.0
1,2,11,56.617931,83.80301399999999,2000.0,4000.0
1,2,12,4.006158,5.901624,2000.0,4000.0
1,2,13,16.176403,23.86948,2000.0,4000.0
1,2,14,70.264812,104.181465,2000.0,4000.0
1,2,15,28.567918000000002,42.186744,2000.0,4000.0
1,2,16,10.79971,15.925241,2000.0,4000.0
1,2,17,-0.0,-0.0,2000.0,4000.0
1,2,18,0.0,0.0,2000.0,4000.0
1,2,19,0.0,0.0,2000.0,4000.0
1,2,20,0.0,0.0,2000.0,4000.0
1,2,21,0.0,0.0,2000.0,4000.0
1,2,22,0.0,0.0,2000.0,4000.0
1,2,23,0.0,0.0,2000.0,4000.0
1,3,0,0.0,0.0,2000.0,4000.0
1,3,1,0.0,0.0,2000.0,4000.0
1,3,2,0.0,0.0,2000.0,4000.0
1,3,3,0.0,0.0,2000.0,4000.0
1,3,4,0.0,0.0,2000.0,4000.0
1,3,5,0.0,0.0,2000.0,4000.0
1,3,6,0.0,0.0,2000.0,4000.0
1,3,7,0.0,0.0,2000.0,4000.0
1,3,8,0.026844999999999997,0.022746,2000.0,4000.0
1,3,9,-0.0,-0.0,2000.0,4000.0
1,3,10,12.923861,19.037436000000003,2000.0,4000.0
1,3,11,11.837284,17.439859000000002,2000.0,4000.0
1,3,12,23.038389,33.983148,2000.0,4000.0
1,3,13,19.571486,28.863967,2000.0,4000.0
1,3,14,36.361233999999996,53.691898,2000.0,4000.0
1,3,15,40.742849,60.171752,2000.0,4000.0
1,3,16,4.089912,6.017385,2000.0,4000.0
1,3,17,-0.0,-0.0,2000.0,4000.0
1,3,18,0.0,0.0,2000.0,4000.0
1,3,19,0.0,0.0,2000.0,4000.0
1,3,20,0.0,0.0,2000.0,4000.0
1,3,21,0.0,0.0,2000.0,4000.0
1,3,22,0.0,0.0,2000.0,4000.0
1,3,23,0.0,0.0,2000.0,4000.0
1,4,0,0.0,0.0,2000.0,4000.0
1,4,1,0.0,0.0,2000.0,4000.0
1,4,2,0.0,0.0,2000.0,4000.0
1,4,3,0.0,0.0,2000.0,4000.0
1,4,4,0.0,0.0,2000.0,4000.0
1,4,5,0.0,0.0,2000.0,4000.0
1,4,6,0.0,0.0,2000.0,4000.0
1,4,7,0.0,0.0,2000.0,4000.0
1,4,8,2.558064,3.753838,2000.0,4000.0
1,4,9,2.756482,4.046667,2000.0,4000.0
1,4,10,13.702496,20.174825000000002,2000.0,4000.0
1,4,11,19.409876,28.590192,2000.0,4000.0
1,4,12,16.320584999999998,24.034603999999998,2000.0,4000.0
1,4,13,21.577261,31.788355,2000.0,4000.0
1,4,14,19.495055,28.716786,2000.0,4000.0
1,4,15,8.287626,12.196304,2000.0,4000.0
1,4,16,6.5857790000000005,9.689257,2000.0,4000.0
1,4,17,-0.0,-0.0,2000.0,4000.0
1,4,18,0.0,0.0,2000.0,4000.0
1,4,19,0.0,0.0,2000.0,4000.0
1,4,20,0.0,0.0,2000.0,4000.0
1,4,21,0.0,0.0,2000.0,4000.0
1,4,22,0.0,0.0,2000.0,4000.0
1,4,23,0.0,0.0,2000.0,4000.0
1,5,0,0.0,0.0,2000.0,4000.0
1,5,1,0.0,0.0,2000.0,4000.0
1,5,2,0.0,0.0,2000.0,4000.0
1,5,3,0.0,0.0,2000.0,4000.0
1,5,4,0.0,0.0,2000.0,4000.0
1,5,5,0.0,0.0,2000.0,4000.0
1,5,6,0.0,0.0,2000.0,4000.0
1,5,7,0.0,0.0,2000.0,4000.0
1,5,8,-0.0,-0.0,2000.0,4000.0
1,5,9,6.408817,9.423639999999999,2000.0,4000.0
1,5,10,13.366790000000002,19.677806,2000.0,4000.0
1,5,11,20.803883000000003,30.647621,2000.0,4000.0
1,5,12,25.6585,37.817592,2000.0,4000.0
1,5,13,23.700039,34.925078,2000.0,4000.0
1,5,14,30.172275000000003,44.485466,2000.0,4000.0
1,5,15,9.698491,14.275527,2000.0,4000.0
1,5,16,5.069326,7.454282,2000.0,4000.0
1,5,17,-0.0,-0.0,2000.0,4000.0
1,5,18,0.0,0.0,2000.0,4000.0
1,5,19,0.0,0.0,2000.0,4000.0
1,5,20,0.0,0.0,2000.0,4000.0
1,5,21,0.0,0.0,2000.0,4000.0
1,5,22,0.0,0.0,2000.0,4000.0
