Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power,PV-3 Solar Power,Turbine-1 Power,Turbine-2 Power,Turbine-3 Power
1,1,0,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,1,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,2,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,3,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,4,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,5,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,6,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,7,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,8,6.26898,8.202871,10.348184999999999,1500.0,2000.0,3000.0
1,1,9,45.238428,59.473974999999996,74.64993799999999,1500.0,2000.0,3000.0
1,1,10,73.474661,97.044323,121.59099400000001,1500.0,2000.0,3000.0
1,1,11,90.31211900000001,119.70984,149.878723,1500.0,2000.0,3000.0
1,1,12,65.882406,87.003566,109.226456,1500.0,2000.0,3000.0
1,1,13,94.799639,125.920117,157.765165,1500.0,2000.0,3000.0
1,1,14,83.276528,110.399534,138.463032,1500.0,2000.0,3000.0
1,1,15,62.363579,82.33349199999999,103.38980000000001,1500.0,2000.0,3000.0
1,1,16,12.47949,16.348095999999998,20.616298,1500.0,2000.0,3000.0
1,1,17,-0.0,-0.0,-0.0,1500.0,2000.0,3000.0
1,1,18,0.0,0.0,0.0,148.3860721898158,164.36611073333438,162.0832480842603
1,1,19,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,20,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,21,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,22,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,1,23,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,0,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,1,0.0,0.0,0.0,526.926711983761,583.6726655820121,575.566100782262
1,2,2,0.0,0.0,0.0,0.0675403150613635,0.0748138874525873,0.0737748056824125
1,2,3,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,4,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,5,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,6,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,7,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,8,0.383214,0.49277499999999996,0.6396040000000001,1500.0,2000.0,3000.0
1,2,9,-0.0,-0.0,-0.0,1500.0,2000.0,3000.0
1,2,10,18.633108,24.440848000000003,30.85042,1500.0,2000.0,3000.0
1,2,11,12.606395000000001,16.530637,20.905625,1500.0,2000.0,3000.0
1,2,12,2.9872910000000004,3.9123870000000003,4.9783990000000005,1500.0,2000.0,3000.0
1,2,13,0.273293,0.349752,0.462887,1500.0,2000.0,3000.0
1,2,14,29.530235,38.803419999999996,48.964458,1500.0,2000.0,3000.0
1,2,15,24.730452,32.473753,40.991726,1500.0,2000.0,3000.0
1,2,16,8.367113,10.967547,13.888277,1500.0,2000.0,3000.0
1,2,17,-0.0,-0.0,-0.0,1500.0,2000.0,3000.0
1,2,18,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,19,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,20,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,21,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,22,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,2,23,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,0,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,1,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,2,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,3,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,4,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,5,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,6,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,7,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,8,0.092783,0.11048699999999999,0.152202,1500.0,2000.0,3000.0
1,3,9,-0.0,-0.0,-0.0,1500.0,2000.0,3000.0
1,3,10,15.20523,19.921098,25.105171,1500.0,2000.0,3000.0
1,3,11,5.029255,6.582303,8.326227000000001,1500.0,2000.0,3000.0
1,3,12,24.450374,32.08464,40.43229,1500.0,2000.0,3000.0
1,3,13,18.827583999999998,24.693303,31.146455999999997,1500.0,2000.0,3000.0
1,3,14,28.502312000000003,37.416573,47.115707,1500.0,2000.0,3000.0
1,3,15,29.065030999999998,38.148741,48.015246,1500.0,2000.0,3000.0
1,3,16,4.679019,6.123563,7.748019,1500.0,2000.0,3000.0
1,3,17,-0.0,-0.0,-0.0,1500.0,2000.0,3000.0
1,3,18,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,19,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,20,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,21,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,22,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,3,23,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,0,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,1,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,2,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,3,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,4,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,5,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,6,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,7,0.0,0.0,0.0,1500.0,2000.0,3000.0
1,4,8,-0.0,-0.0,-0.0,1500.0,2000.0,3000.0
1,4,9,3.719988,4.861809,6.1405780000000005,1500.0,2000.0,3000.0
1,4,10,6.740389,8.817696,11.122301,1500.0,2000.0,3000.0
1,4,11,9.634133,12.607908,15.888602,1500.0,2000.0,3000.0
1,4,12,10.401622999999999,13.613499,17.152667,1500.0,2000.0,3000.0
1,4,13,13.394928,17.536452,22.081532,1500.0,2000.0,3000.0
1,4,14,12.392308000000002,16.222429,20.431274000000002,1500.0,2000.0,3000.0
1,4,15,3.229715,4.220621,5.335577,1500.0,2000.0,3000.0
1,4,16,1.6532449999999999,2.155843,2.733348,1500.0,2000.0,3000.0
